,BCOLOMBIA.CL,BOGOTA.CL,BVC.CL,CELSIA.CL,CEMARGOS.CL,CONCONCRET.CL,CORFICOLCF.CL,ECOPETROL.CL,ENKA.CL,ETB.CL,EXITO.CL,GEB.CL,GRUBOLIVAR.CL,GRUPOARGOS.CL,GRUPOSURA.CL,HCOLSEL.CL,ICOLCAP.CL,ISA.CL,MINEROS.CL,NUTRESA.CL,PFAVAL.CL,PFBCOLOM.CL,PFCORFICOL.CL,PFGRUPOARG.CL,PFGRUPSURA.CL,PROMIGAS.CL,TERPEL.CL,AAPL,AMZN,BAC,C,CBU7.L,CSPX.L,EIMI.L,F,FALABELLA.SN,GE,GOOGL,JETS,JNJ,JPM,META,NKE,NVDA,PBR,PFE,SGLD.L,VOO
BCOLOMBIA.CL,0.0008585693187242103,-6.285981330374014e-05,0.0001597664744551889,4.3872150621656806e-05,6.316343848111586e-05,-9.160292338604517e-05,6.851507438102176e-05,-1.6921716119361818e-05,0.00010488644388393448,0.0001156864012566864,-0.00018835279295128393,-2.2319402751170987e-05,-7.105345930046965e-05,-2.1495179067640524e-05,-0.00014329965119344807,-6.426040508855627e-05,0.00010469914983076384,2.65882105458574e-05,0.00013077302141026572,-2.2216648328710205e-05,-4.460177634456409e-05,9.576744541850909e-05,7.016481369346432e-05,-0.00017636411918419895,-0.00013948034813592171,3.5554409206220516e-05,6.109205432481234e-05,-6.883716218371487e-05,-5.7149269284066885e-05,-2.061914389922043e-05,-1.0200835892270153e-05,-1.823269778407045e-06,-1.123622759111722e-05,-9.296483248435568e-06,6.511228541592651e-05,4.1391328323268066e-05,-0.00013394852182803505,-3.8268286097355185e-05,-0.00013825577978205343,-3.1266524240306305e-05,-1.952143741706758e-05,-0.00012205803814926709,9.523973415743339e-05,-5.289267731773618e-05,-0.00017279563134874195,9.900073158830394e-06,-5.790482871505529e-05,-8.346535950929861e-05
BOGOTA.CL,-6.285981330374014e-05,0.0004031610443508411,-5.546503802531366e-06,4.743391771162294e-05,2.375756829081144e-05,0.0001107595315276313,1.0520738456563506e-05,0.00011395496527105295,-2.6614972872179518e-05,-2.9307009439245293e-05,7.467084186271173e-05,3.4249596103478e-05,5.8623152570018256e-05,2.173454925698862e-05,1.188966010460379e-05,-1.8933266971053903e-06,-2.441753116063381e-05,-6.252482034811649e-06,7.074217682637179e-05,0.00016214879819106308,3.426421601224544e-05,-5.1784648602490155e-06,-5.145288975345703e-05,5.7533925803923365e-05,1.0443946131836295e-05,-6.3807592875515e-05,7.968746101433654e-05,-3.32911487516353e-05,-0.00010372308653100011,1.3688250459689275e-05,-5.409519698754998e-05,-8.28270004198906e-06,1.768992077990082e-05,-2.9498992131563093e-05,-1.8756921639573607e-05,6.502158577303351e-05,2.5452607212560265e-05,-6.201660077472979e-05,5.7969112475769516e-05,-1.687539910171853e-05,-1.553470124295892e-05,4.227473211061396e-06,-0.00018288647974779433,-7.002252541772704e-05,-6.506368061646982e-05,-5.6547020472683315e-05,5.6275205904453446e-05,-2.8441322030894946e-05
BVC.CL,0.00015976647445518886,-5.546503802531366e-06,0.0008028860313940809,6.316801842983391e-05,3.6798613205333166e-05,3.632538047261739e-05,0.0001207970429508617,9.67177690741882e-06,0.0002014255047662707,1.703632708124855e-05,-0.00019913483177116275,9.572305512924132e-05,1.3557161711391744e-05,-6.253310949978188e-06,-0.00016751111635134928,-5.7571681311518556e-05,4.989063687378196e-05,0.00010226717111299189,4.079065324416521e-05,0.00013996687581510186,-2.624055533289622e-05,-9.378443734753721e-05,7.216225783592707e-05,-3.7344160328233715e-05,-9.04949549783793e-05,0.00016740511742724265,2.8195288439609224e-06,-0.00011634791458268013,-0.00014999830999149627,-2.2861639612759343e-05,-0.00010358919559935559,-1.1088644645758281e-05,-2.846178908679385e-05,6.028511654992527e-05,-9.668011263230817e-05,2.726189751780182e-05,-9.140065293427719e-05,1.2585207831125586e-05,-0.0002264892420152352,-8.016966913182997e-05,-0.00010415713626879593,-2.0822828156059506e-07,2.293196372329094e-06,-0.00020584734064694348,-0.0003558461097851735,-5.629848983794548e-05,6.179962199148121e-06,-4.486154174935705e-05
CELSIA.CL,4.3872150621656806e-05,4.743391771162293e-05,6.316801842983391e-05,0.0005814315494495061,7.727231137615078e-05,-3.944002359580227e-05,1.462639576976427e-05,0.00014130593142440968,0.00017645034746850872,3.748322395589687e-05,0.00011955481845515697,2.6918269371512193e-05,-3.624627584166077e-05,0.00013037229300350735,6.658323577585026e-05,1.425104035643415e-06,3.0997967905638486e-05,0.00010691865484101184,7.9339588347019e-06,-5.64150158646919e-05,1.2652154801000103e-05,9.834739562030816e-05,-9.740387186845184e-06,-3.8346004244119855e-05,3.0858169147928454e-05,4.926975973300456e-05,4.9908649275109734e-05,7.361447982488395e-06,1.151093274708843e-05,5.604025657248745e-06,5.740030205207494e-05,-5.779548620566658e-06,3.171125561322003e-05,1.0125643818070015e-05,2.1345069263014547e-05,7.922299714747594e-05,5.6287497500242415e-06,1.339151061079346e-06,8.083391797612224e-05,3.021734656418987e-05,4.2363107777887046e-05,-8.323228321040671e-05,5.3158955363283446e-05,-8.731368821047631e-05,0.00014347760272686626,-4.901123535330224e-05,9.612483629953268e-06,-3.2358358698538826e-05
CEMARGOS.CL,6.316343848111586e-05,2.3757568290811442e-05,3.6798613205333166e-05,7.727231137615078e-05,0.001776710198252123,-0.0003868697153934017,-0.00017606659677724587,0.00011058503980324665,8.889592149503063e-05,7.027794923699042e-05,-0.00033735379837348406,0.0001278037956954688,-0.00018442188002285294,0.0006096528018240828,0.00025116272696735305,1.0606993958077114e-05,0.00012212152434156853,8.902744835994133e-06,0.00020280388499496456,-0.0002883428984578474,2.0786706671664226e-06,0.0006154587714840906,4.4594444617083385e-05,0.00028919907867076654,0.00023031738245731951,0.00012342857509802606,-4.701270469900446e-05,0.00016624798616612105,-0.00013955609607469113,9.428935797244301e-05,0.0002282999560415176,-1.6280726428192884e-05,-2.76137470143657e-05,1.6335095048838238e-05,0.0003087069591303674,0.00013615506721769444,-0.00019771525990522644,-9.084543326834178e-05,0.0001376725714151703,0.00015679428603661275,-2.1076098030975013e-05,-0.0002712614357884809,5.289879254188624e-05,-0.00013455446721197112,0.00028515620279648073,0.00030650044195647003,0.00012068428777232039,2.6795545261334324e-05
CONCONCRET.CL,-9.160292338604517e-05,0.0001107595315276313,3.632538047261738e-05,-3.944002359580226e-05,-0.00038686971539340166,0.003123348251416453,3.506521159020575e-05,0.0003224180957688605,-5.483711738349219e-05,-7.145489139351834e-05,0.0004949367493988519,-0.00015921863783358427,3.747939607602042e-05,-0.0005214981256207956,-0.00016672792458896749,2.9306517748547773e-06,-0.00017214561203576255,-0.00017421311478973866,-5.2958083932059494e-05,0.0001509017123955274,5.445075151537547e-05,-0.0005576511867766341,-0.00018101792294261015,-0.00012437771728581322,-5.958555635215428e-05,-1.4118033687536723e-05,0.00016307072512025878,-0.00016187576580583928,-3.481352695927902e-05,-9.099613049930059e-06,-0.0003008120086115716,-5.041153207848458e-06,-6.688037421000906e-06,-9.596892946482244e-05,-0.00011616667617954925,0.00010663891626921091,0.00014384505124878045,7.411544231740574e-05,-0.0001418557021630899,-0.00015506719775466957,-0.00012557336524925816,0.00012224251176871974,-0.0002085106530864703,-9.260152050503057e-06,6.095365015436285e-05,-5.2178163997374614e-05,-0.0001399692512076153,2.1955433635512595e-05
CORFICOLCF.CL,6.851507438102176e-05,1.0520738456563506e-05,0.0001207970429508617,1.4626395769764272e-05,-0.00017606659677724587,3.5065211590205755e-05,0.0010311628950384502,-0.0004028385095489464,9.064161932297874e-05,2.8213688567991012e-05,0.00023384109780884925,6.915569319574656e-05,7.281522051480923e-05,-6.644121197319851e-05,-8.575491642228968e-05,-2.5811688364371845e-05,8.741752816577864e-06,0.00011568452158993841,6.95702645336705e-05,8.796212046475118e-05,5.7676058215109967e-05,-0.00016046260894629703,1.5212103611926389e-05,-7.765126240786438e-05,-0.00016010806434914378,7.934827918326749e-05,0.00013527540822849953,7.477181734368012e-05,0.00017979372659115191,6.763611490800358e-05,0.0001264793882334459,1.0328631263214561e-05,7.96451471180028e-05,0.00011422012666114831,1.2805100758910488e-05,-5.5760873167040104e-05,0.00024099587541202396,9.147826225229667e-05,0.0002370433961667742,-4.2734398212264576e-05,0.00010988138045825163,0.0002556748990113128,0.0004645596378334874,0.00029084888389952716,-0.000582777496631499,-9.625825350435737e-05,-0.00015960913612114654,7.641513731458915e-05
ECOPETROL.CL,-1.6921716119361818e-05,0.00011395496527105292,9.671776907418821e-06,0.00014130593142440968,0.00011058503980324664,0.00032241809576886044,-0.0004028385095489464,0.0029469447004793403,0.0003464051807343339,-0.00017928455650684068,0.0003711463890983511,-0.00021115055553492924,-0.000254501998015746,-0.00020409343378874727,-0.00014568866518919156,-1.1738319467020314e-06,-2.5160366283000983e-05,-0.0001465971083053948,-8.116898837627613e-05,-3.807050992587802e-05,2.9501177312625707e-05,4.4648573978958116e-05,-5.7591997830480946e-05,-0.00010363679942366158,0.00022357268527893292,7.925896382937775e-06,8.791507179743901e-05,0.00012319581004532117,-0.00035347154301400936,-4.749928242442684e-06,-0.00023117403902965723,-7.42534945926494e-05,-0.00011347758412419877,-6.787590125386223e-05,5.659613500187815e-06,0.0001858714169039661,-0.000479561726714116,-0.0003752394621638112,-0.0006030851179192726,-1.6289078546614365e-05,-0.00018720863252764323,-0.0003578709714328388,-0.0011214999558753294,-0.0002868893389594943,0.0012830308608926442,0.00014533920627009334,0.0002436055141134417,-0.00021087635265417377
ENKA.CL,0.0001048864438839345,-2.6614972872179518e-05,0.00020142550476627072,0.0001764503474685087,8.889592149503063e-05,-5.483711738349219e-05,9.064161932297874e-05,0.0003464051807343339,0.001864230754923826,-0.00019630213666309542,2.363085166127911e-06,0.00021337000258430977,-4.2901307558614525e-06,5.143716306591808e-07,-0.0002941521506254253,-0.00010324388247100736,9.086652241223993e-05,0.00017935702357211442,-1.554902953280634e-05,2.1014369966340836e-05,1.558131449537033e-05,7.708761054659202e-05,1.1113082088891421e-05,-0.00010248445429306088,-0.00025266972474379093,0.00024250901413483742,2.7221719942384672e-05,9.744994954287712e-05,0.0002021695896686211,0.00022990241874461676,0.0003382932963353556,-8.418708299804179e-06,5.228554859128385e-05,0.000139196301403294,-3.1941169780753283e-05,0.0001559499267533432,9.423802491790629e-06,5.9332199527972255e-06,7.379059670409317e-05,-7.17604374014826e-05,0.00010421449079408281,0.00034765209265997957,0.0003130099299358554,0.00017829842828471284,-0.00014089520409591916,-9.295205668072213e-05,-5.7716972038201755e-05,5.8870834684616885e-05
ETB.CL,0.00011568640125668638,-2.9307009439245293e-05,1.703632708124855e-05,3.7483223955896864e-05,7.027794923699042e-05,-7.145489139351835e-05,2.821368856799101e-05,-0.0001792845565068407,-0.00019630213666309548,0.0012524001107653447,4.043223214429318e-05,-2.558417090283179e-05,-1.0012521498826414e-05,4.689519327689282e-06,9.465088761462363e-05,-1.2297067847563126e-05,-3.3371487352392494e-05,-3.488863527049157e-05,-3.5254804999215897e-06,9.266210507801786e-07,5.80818105149205e-06,4.77378839647694e-05,-2.2515029229542845e-05,1.1774174947925429e-05,0.0001054527732194912,-6.708266394539143e-05,5.1266188627712185e-05,-0.0001348516822988401,-0.00011994740348668948,-0.00011569449953331638,-2.724283674914614e-05,4.633203082878293e-06,-5.917562378759806e-05,-1.9803206035920577e-05,2.951331911532749e-05,-6.818801851201537e-05,-3.720621995086837e-05,1.9648786078968444e-05,-9.495084459453479e-06,2.2764797941131428e-05,-4.204546227723904e-05,-0.0001904590263833521,6.599763642060586e-05,6.740156901793957e-05,-0.00019507815274551709,9.965497130322269e-05,-1.5683263315812946e-05,-4.1020240228191754e-05
