Date,BCOLOMBIA.CL,BHI.CL,BOGOTA.CL,BVC.CL,CELSIA.CL,CEMARGOS.CL,CNEC.CL,CONCONCRET.CL,CORFICOLCF.CL,ECOPETROL.CL,ENKA.CL,ETB.CL,EXITO.CL,GEB.CL,GRUBOLIVAR.CL,GRUPOARGOS.CL,GRUPOAVAL.CL,GRUPOSURA.CL,HCOLSEL.CL,ICOLCAP.CL,ISA.CL,MINEROS.CL,NUTRESA.CL,PFAVAL.CL,PFBCOLOM.CL,PFCORFICOL.CL,PFDAVVNDA.CL,PFGRUPOARG.CL,PFGRUPSURA.CL,PROMIGAS.CL,TERPEL.CL
2022-10-24/2022-10-30,28388.822265625,194.99053955078125,22346.876953125,6642.9716796875,2294.69775390625,2742.374755859375,36198.4921875,218.86033630371094,14345.419921875,2002.0931396484375,26.813716888427734,118.0,3463.157958984375,1157.2750244140625,49112.2421875,9263.58203125,515.926513671875,36985.9921875,11536.140625,11442.453125,17132.537109375,1666.907958984375,47051.44921875,464.85858154296875,24495.0625,11266.8759765625,24843.71484375,4830.12646484375,10926.8515625,3613.681884765625,6438.7802734375
2022-10-31/2022-11-06,29966.87890625,194.99053955078125,23472.818359375,6727.0595703125,2419.863037109375,2634.99267578125,39998.33203125,229.87518310546875,14300.591796875,2110.08984375,28.60129737854004,105.0,3337.224609375,1195.8509521484375,50501.73046875,9055.30859375,474.2080078125,38932.62109375,11343.068359375,11545.2861328125,15615.5908203125,1714.9053955078125,46787.59765625,456.0876770019531,25216.90625,11355.591796875,25395.375,5218.26171875,12016.16015625,3521.453125,6559.35693359375
2022-11-07/2022-11-13,32944.0390625,194.99053955078125,25784.859375,6487.408203125,2403.174072265625,2824.97607421875,41598.265625,234.6642608642578,14542.6708984375,1981.3245849609375,27.707508087158203,108.9000015258789,3431.674560546875,1235.128173828125,53429.23828125,9308.857421875,463.5379333496094,38237.39453125,11547.6259765625,11912.3369140625,16507.91015625,1719.905029296875,46602.91015625,499.9422302246094,25343.82421875,11213.646484375,26156.28515625,5218.26171875,11821.94140625,3420.84033203125,6579.45263671875
2022-11-14/2022-11-20,33757.4765625,194.99053955078125,25784.859375,6310.8232421875,2545.028076171875,3180.1630859375,36998.4609375,227.0017547607422,15242.0087890625,2051.10693359375,27.707508087158203,108.9000015258789,3315.186767578125,1223.2047119140625,53813.4453125,9508.07421875,454.87939453125,38005.65234375,11816.333984375,12053.9814453125,16659.609375,1757.9031982421875,48095.95703125,482.4004211425781,25224.837890625,11533.0234375,25595.11328125,5295.888671875,12252.5986328125,3396.52587890625,6398.58837890625
2022-11-21/2022-11-27,34082.84765625,278.9864807128906,29205.65234375,6390.70703125,2545.028076171875,3113.255859375,36998.4609375,228.82159423828125,14883.3740234375,2041.1380615234375,25.11551284790039,110.30000305175781,3564.533935546875,1317.8909912109375,53471.5859375,9055.30859375,469.92254638671875,36865.48046875,11436.353515625,11942.5546875,16463.294921875,1799.9007568359375,34530.43359375,517.4840087890625,25383.484375,12411.306640625,25680.71484375,5282.95068359375,11441.951171875,3581.890625,6402.46240234375
2022-11-28/2022-12-04,32098.07421875,278.08648681640625,29136.888671875,6520.98486328125,2478.273193359375,3122.342529296875,34698.5546875,234.19659423828125,14184.0341796875,1916.526611328125,26.009305953979492,125.0,3243.404541015625,1311.5784912109375,53471.5859375,9032.669921875,476.65692138671875,34761.265625,11409.142578125,11730.087890625,16954.072265625,1837.8985595703125,39569.05859375,486.7857971191406,25097.919921875,11710.4541015625,24733.8671875,5321.76416015625,10969.072265625,3977.939453125,6521.82568359375
2022-12-05/2022-12-11,32521.056640625,288.88592529296875,29222.837890625,6337.4033203125,2344.763671875,3054.608642578125,34173.578125,239.07568359375,14255.7607421875,1823.4830322265625,26.804777145385742,119.23999786376953,3265.449462890625,1276.509521484375,53646.91015625,8783.650390625,448.90594482421875,38005.65234375,11418.8603515625,11595.9970703125,16864.837890625,1799.9007568359375,41401.28515625,482.4004211425781,25343.82421875,11351.9365234375,25585.6015625,5061.95556640625,10850.853515625,3839.24169921875,6229.78125
2022-12-12/2022-12-18,34164.19140625,200.990234375,27950.791015625,5970.265625,2169.531982421875,2875.36328125,33198.6171875,248.7362823486328,13547.4560546875,1782.7767333984375,21.71017074584961,112.0,3298.138427734375,1213.3856201171875,53449.46484375,8145.24951171875,455.7540283203125,34937.38671875,11260.453125,11543.1171875,16784.529296875,1799.9007568359375,37956.25390625,465.73565673828125,24931.33984375,11089.4453125,26156.28515625,4916.37939453125,10344.1982421875,3884.369873046875,6189.5888671875
2022-12-19/2022-12-25,33432.109375,205.19003295898438,31715.384765625,5869.5869140625,2227.94287109375,2924.098388671875,35923.50390625,232.2449493408203,13359.171875,1875.8199462890625,19.66339111328125,108.0,3261.35009765625,1257.603515625,53801.12109375,8213.1640625,464.141357421875,37264.078125,11505.4404296875,11841.5146484375,19108.416015625,1759.903076171875,38909.359375,470.12109375,25907.017578125,11142.6748046875,26270.419921875,5118.64892578125,10656.63671875,3860.678466796875,6461.9873046875
2022-12-26/2023-01-01,34570.91015625,204.99005126953125,31801.326171875,5860.7578125,2319.730712890625,2973.659423828125,36473.484375,234.19659423828125,13448.8310546875,2010.400390625,22.612899780273438,119.69999694824219,3211.291748046875,1245.027587890625,53625.296875,8593.48828125,479.0796813964844,38932.62109375,11505.4404296875,11982.21484375,19117.517578125,1849.89794921875,39271.1796875,499.9422302246094,26612.994140625,11444.3076171875,26213.3515625,5477.0185546875,11146.404296875,3864.2880859375,6454.85693359375
