Date,AAPL,AMZN,BAC,BRK-B,C,CBU7.L,CENCOSUD.SN,CHILE.SN,CSPX.L,EIMI.L,F,FALABELLA.SN,GE,GEHC,GOOGL,ISAC.CL,IUFS.CL,IUIT.CL,JETS,JNJ,JPEA.CL,JPM,LQDA,META,NKE,NU,NVDA,PBR,PFE,RBOT,SDHA.CL,SGLD.L,SUAS.CL,UBER,VOO
2022-12-12/2022-12-18,133.1102294921875,87.86000061035156,29.97987174987793,300.0,40.87038040161133,127.16000366210938,1212.666259765625,75.7539291381836,397.6700134277344,28.40999984741211,10.25086498260498,1540.2152099609375,47.869319915771484,56.5897331237793,89.9339828491211,301090.0,45160.0,77700.0,17.450000762939453,165.26417541503906,23850.0,121.98951721191406,5.940000057220459,118.97552490234375,102.83397674560547,3.9000000953674316,16.5589542388916,6.542431831359863,46.336639404296875,56.400001525878906,27460.0,172.8800048828125,57140.0,25.969999313354492,342.0995178222656
2022-12-19/2022-12-25,130.48779296875,85.25,30.70808982849121,306.489990234375,40.787445068359375,126.2300033569336,1247.8427734375,77.91474151611328,396.5199890136719,28.40999984741211,9.608070373535156,1634.615478515625,50.47024917602539,57.347721099853516,88.90770721435547,291040.0,45520.0,74000.0,17.229999542236328,166.96693420410156,23690.0,123.86713409423828,6.170000076293945,117.59081268310547,112.83106994628906,3.890000104904175,15.194948196411133,7.743390083312988,46.72428512573242,53.099998474121094,27330.0,173.69000244140625,53830.0,24.639999389648438,340.1756591796875
2022-12-26/2023-01-01,128.577880859375,84.0,31.322818756103516,308.8999938964844,41.681339263916016,125.62000274658203,1291.3507080078125,78.90100860595703,396.0899963378906,28.639999389648438,9.836431503295898,1639.5838623046875,51.70438766479492,58.22538757324219,87.91132354736328,294300.0,46100.0,74790.0,17.079999923706055,166.1861114501953,23320.0,126.5279312133789,6.369999885559082,119.8820571899414,113.56871032714844,4.070000171661377,14.603378295898438,7.436168670654297,46.192405700683594,60.599998474121094,27170.0,175.8249969482422,54330.0,24.729999542236328,341.2899169921875
2023-01-02/2023-01-08,128.27110290527344,86.08000183105469,32.542816162109375,318.69000244140625,43.598140716552734,127.0199966430664,1200.1693115234375,74.85733032226562,400.739990234375,29.780000686645508,10.639924049377441,1699.1058349609375,56.86627197265625,58.79387664794922,87.02452087402344,304060.0,48900.0,75010.0,18.43000030517578,169.5728759765625,24670.0,130.1510772705078,5.71999979019165,129.5252227783203,120.86753845214844,3.559999942779541,14.848199844360352,7.177823066711426,45.90392303466797,59.400001525878906,27180.0,179.83999633789062,54880.0,26.399999618530273,346.3897705078125
2023-01-09/2023-01-15,133.3576202392578,98.12000274658203,33.318328857421875,317.6400146484375,46.00336837768555,128.02999877929688,1203.4091796875,75.22493743896484,410.7099914550781,30.719999313354492,10.758334159851074,1792.6116943359375,63.395545959472656,65.26669311523438,91.78726959228516,309510.0,48730.0,77290.0,20.170000076293945,163.1568603515625,24180.0,135.9315185546875,6.449999809265137,136.45872497558594,125.06048583984375,3.680000066757202,16.886716842651367,7.568833351135254,43.136348724365234,84.30000305175781,28080.0,184.6699981689453,56220.0,29.440000534057617,355.7540283203125
2023-01-16/2023-01-22,136.4352569580078,97.25,32.01321029663086,309.8699951171875,47.081573486328125,128.02000427246094,1271.9110107421875,74.9918212890625,407.3599853515625,31.040000915527344,10.487682342529297,1838.3212890625,61.403564453125,66.5931625366211,97.66594696044922,300720.0,45500.0,77700.0,20.239999771118164,158.7446746826172,23490.0,128.39402770996094,6.420000076293945,138.83963012695312,122.89608001708984,3.809999942779541,17.82603645324707,8.001736640930176,40.666263580322266,82.80000305175781,27150.0,186.0800018310547,56050.0,30.360000610351562,353.3060302734375
2023-01-23/2023-01-29,144.411376953125,102.23999786376953,33.526390075683594,309.1700134277344,47.79116439819336,127.83000183105469,1365.4066162109375,77.41264343261719,421.2699890136719,31.6200008392334,11.22351360321045,1843.289794921875,65.79065704345703,69.89439392089844,99.01107788085938,301800.0,47040.0,77800.0,20.299999237060547,158.26487731933594,23550.0,133.3746795654297,6.679999828338623,151.16256713867188,123.77932739257812,4.369999885559082,20.350194931030273,7.883037090301514,39.476295471191406,84.30000305175781,26190.0,186.5800018310547,55050.0,30.360000610351562,362.20404052734375
2023-01-30/2023-02-05,152.89219665527344,103.38999938964844,34.45321273803711,308.510009765625,46.95256042480469,127.80999755859375,1340.412841796875,77.92371368408203,432.8699951171875,30.8799991607666,11.189681053161621,1828.88134765625,64.7867660522461,70.3631591796875,104.40153503417969,300200.0,47720.0,83500.0,20.739999771118164,154.8592987060547,23080.0,134.10655212402344,7.130000114440918,185.82017517089844,123.8569564819336,4.900000095367432,21.084665298461914,7.568833351135254,40.084346771240234,88.5,26250.0,180.3800048828125,58080.0,33.09000015258789,368.01300048828125
2023-02-06/2023-02-12,149.4385223388672,97.61000061035156,33.64933395385742,309.8900146484375,46.6339111328125,126.45999908447266,1342.26416015625,78.90100860595703,422.3399963378906,30.200000762939453,10.766790390014648,1895.8558349609375,64.25715637207031,69.05662536621094,94.22840881347656,309790.0,47930.0,84230.0,19.649999618530273,152.54501342773438,23680.0,134.0590362548828,6.869999885559082,173.48727416992188,118.63519287109375,4.739999771118164,21.249544143676758,8.050612449645996,39.92058563232422,93.5999984741211,27200.0,179.55999755859375,57720.0,34.29999923706055,364.2925109863281
2023-02-13/2023-02-19,151.19297790527344,97.19999694824219,33.43181228637695,308.239990234375,47.85303497314453,125.73999786376953,1393.1776123046875,77.10780334472656,420.05999755859375,29.770000457763672,11.589404106140137,1872.106689453125,65.64047241210938,72.97621154785156,94.00920104980469,330140.0,50950.0,88710.0,19.899999618530273,150.8892822265625,24220.0,135.1996307373047,7.829999923706055,172.22213745117188,121.16842651367188,4.989999771118164,21.372453689575195,8.06457805633545,39.31103515625,92.0999984741211,27360.0,177.3000030517578,59080.0,34.77000045776367,363.51544189453125
